key,en,zh_CN,es,ja,ko,de,zh_TW,ru
开始游戏,Start Game,开始游戏,Iniciar juego,ゲーム開始,게임 시작,Spiel starten,開始遊戲,Начать игру
重新开始,Restart,重新开始,Reiniciar,再スタート,다시 시작,Neustart,重新開始,Перезапуск
退出游戏,Quit Game,退出游戏,Salir del juego,ゲーム終了,게임 종료,Spiel beenden,退出遊戲,Выйти из игры
设置,Settings,设置,Configuración,設定,설정,Einstellungen,設定,Настройки
Windowed,Windowed,窗口化,En ventana,ウィンドウ表示,창 모드,Fenstermodus,視窗化,В оконном режиме
Maximized,Maximize,最大化,Maximizar,最大化,최대화,Maximieren,最大化,Развернуть
Minimized,Minimize,最小化,Minimizar,最小化,최소화,Minimieren,最小化,Свернуть
Fullscreen,Fullscreen,全屏,Pantalla completa,全画面表示,전체 화면,Vollbild,全螢幕,Полный экран
ExclusiveFullscreen,Exclusive Fullscreen,无边框全屏,Pantalla completa sin bordes,ボーダーレス全画面,테두리 없는 전체 화면,Rahmenloser Vollbildmodus,無邊框全螢幕,Безрамочный
en,English,英语,Inglés,英語,영어,Englisch,英語,Английский
zh_CN,Simplified Chinese,简体中文,Chino simplificado,簡体字,간체 중국어,Vereinfachtes Chinesisch,簡體中文,Упрощённый китайский
es,Spanish,西班牙语,Español,スペイン語,스페인어,Spanisch,西班牙語,Испанский
ja,Japanese,日本语,Japonés,日本語,일본어,Japanisch,日本語,Японский
ko,Korean,韩语,Coreano,韓国語,한국어,Koreanisch,韓語,Корейский
de,German,德语,Alemán,ドイツ語,독일어,Deutsch,德語,Немецкий
zh_TW,Traditional Chinese,繁体中文,Chino tradicional,繁体字,번체 중국어,Traditionelles Chinesisch,繁體中文,Традиционный китайский
ru,Russian,俄语,Ruso,ロシア語,러시아어,Russisch,俄語,Русский
允许按下鼠标中键相机旋转,Allow Camera Rotation with Middle Mouse Button,允许按下鼠标中键相机旋转,Permitir rotación de cámara con el botón central del ratón,中ボタンでカメラ回転を許可,중간 마우스 버튼으로 카메라 회전 허용,Kamera-Rotation mit mittlerer Maustaste erlauben,允許按下滑鼠中鍵旋轉相機,Разрешить вращение камеры средней кнопкой мыши\
窗口设置,Window Settings,窗口设置,Configuración de ventana,ウィンドウ設定,창 설정,Fenstereinstellungen,窗口設定,Настройки окна
语言设置,Language Settings,语言设置,Configuración de idioma,言語設定,언어 설정,Spracheinstellungen,語言設定,Настройки языка
分辨率,Resolution,分辨率,Resolución,解像度,해상도,Auflösung,解析度,Разрешение
主音量,Master Volume,主音量,Volumen principal,マスターボリューム,마스터 볼륨,Hauptlautstärke,主音量,Основная громкость
背景,Background,背景,Fondo,背景,배경,Hintergrund,背景,Фон
特效,Effects,特效,Efectos,エフェクト,효과,Effekte,特效,Эффекты
